City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
chokurdakh,RU,70.6333,147.9167,35.15,80,2,10.04,1627234746
atuona,PF,-9.8,-139.0333,77.38,72,52,23.67,1627234692
sawtell,AU,-30.3833,153.1,43.12,89,0,2.3,1627234851
hobart,AU,-42.8794,147.3294,42.66,75,40,4.0,1627234851
avarua,CK,-21.2078,-159.775,73.45,88,90,8.05,1627234592
husavik,IS,66.0449,-17.3389,55.31,67,100,4.14,1627234730
hilo,US,19.7297,-155.09,76.8,90,90,3.44,1627234740
tongchuan,CN,35.0806,109.0897,75.4,68,31,1.45,1627234852
darnah,LY,32.767,22.6367,78.91,70,0,27.47,1627234852
maningrida,AU,-12.0667,134.2667,67.55,96,42,7.67,1627234853
honiara,SB,-9.4333,159.95,77.09,89,94,4.81,1627234853
husum,DE,54.4858,9.0524,78.01,86,49,7.07,1627234853
mar del plata,AR,-38.0023,-57.5575,57.22,59,90,7.0,1627234704
villa maria,AR,-32.4075,-63.2402,64.04,44,0,10.2,1627234854
barrow,US,71.2906,-156.7887,42.82,91,90,11.5,1627234812
ponta do sol,PT,32.6667,-17.1,79.72,74,6,5.08,1627234854
kapaa,US,22.0752,-159.319,79.12,84,75,3.0,1627234855
punta arenas,CL,-53.15,-70.9167,41.11,70,20,16.11,1627234712
bluff,NZ,-46.6,168.3333,47.8,82,100,5.91,1627234704
trindade,BR,-16.6494,-49.4889,83.95,18,0,3.4,1627234855
busselton,AU,-33.65,115.3333,58.08,66,44,19.44,1627234855
vardo,NO,70.3705,31.1107,50.2,93,75,19.57,1627234784
kaitangata,NZ,-46.2817,169.8464,48.92,63,100,4.85,1627234830
bambous virieux,MU,-20.3428,57.7575,71.85,60,40,11.5,1627234732
saskylakh,RU,71.9167,114.0833,52.66,82,40,7.96,1627234620
otjiwarongo,NA,-20.4637,16.6477,57.24,38,0,11.07,1627234856
porto da folha,BR,-9.9172,-37.2783,81.23,57,42,16.46,1627234856
victoria,HK,22.2855,114.1577,86.38,83,20,5.01,1627234645
gornopravdinsk,RU,60.05,69.9,51.67,79,80,5.53,1627234857
dikson,RU,73.5069,80.5464,38.34,89,54,13.18,1627234719
raudeberg,NO,61.9875,5.1352,74.98,86,19,10.2,1627234857
georgetown,MY,5.4112,100.3354,83.89,83,20,2.3,1627234760
ixtapa,MX,20.7,-105.2,89.22,62,1,3.44,1627234722
tasiilaq,GL,65.6145,-37.6368,46.56,87,66,5.1,1627234620
cervo,ES,43.6702,-7.4101,71.19,85,83,6.46,1627234858
souillac,MU,-20.5167,57.5167,71.98,60,40,11.5,1627234648
ilulissat,GL,69.2167,-51.1,55.42,41,40,10.36,1627234857
balykshi,KZ,47.0667,51.8667,82.4,24,0,11.18,1627234858
mweka,CD,-4.85,21.5667,77.61,30,100,2.44,1627234859
oussouye,SN,12.485,-16.5469,84.29,69,100,6.46,1627234859
nanortalik,GL,60.1432,-45.2371,45.28,74,100,12.97,1627234618
tambura,SS,5.6,27.4667,69.08,97,93,5.99,1627234860
port elizabeth,ZA,-33.918,25.5701,55.69,82,0,1.14,1627234860
prieska,ZA,-29.6641,22.7474,51.22,25,39,4.68,1627234860
lasa,IT,46.6166,10.7002,70.68,84,70,4.05,1627234861
moldava nad bodvou,SK,48.6143,20.9996,80.37,51,0,5.75,1627234861
leningradskiy,RU,69.3833,178.4167,37.62,90,100,4.63,1627234834
kathu,TH,7.9178,98.3332,87.69,77,100,12.37,1627234861
paita,PE,-5.0892,-81.1144,75.76,70,20,12.24,1627234816
saurimo,AO,-9.6608,20.3916,69.76,34,2,5.23,1627234862
mahebourg,MU,-20.4081,57.7,71.89,60,40,11.5,1627234862
albany,US,42.6001,-73.9662,82.15,74,94,6.62,1627234707
albion,US,42.2431,-84.753,86.05,37,1,9.22,1627234863
carnarvon,AU,-24.8667,113.6333,55.47,72,0,5.75,1627234723
bambanglipuro,ID,-7.95,110.2833,70.34,89,1,4.65,1627234863
butaritari,KI,3.0707,172.7902,81.95,76,18,10.31,1627234863
bubaque,GW,11.2833,-15.8333,79.34,79,98,6.49,1627234864
dudinka,RU,69.4058,86.1778,54.55,89,90,1.66,1627234864
druzhba,UA,52.0428,33.9453,65.57,74,55,2.51,1627234864
bethel,US,41.3712,-73.414,78.49,86,90,1.01,1627234865
khokhlovo,RU,59.1492,37.3998,62.62,50,84,4.83,1627234865
halifax,CA,44.6453,-63.5724,78.42,58,3,5.01,1627234865
isangel,VU,-19.55,169.2667,74.84,88,77,11.86,1627234866
vorkuta,RU,67.5,64.0,44.92,96,95,12.21,1627234866
kouqian,CN,43.6391,126.4578,72.5,77,99,4.38,1627234866
sangin,AF,32.0728,64.8359,94.64,9,2,4.94,1627234867
vanimo,PG,-2.6741,141.3028,74.73,81,100,3.4,1627234772
khatanga,RU,71.9667,102.5,50.34,83,54,7.25,1627234726
cap malheureux,MU,-19.9842,57.6142,72.09,60,0,10.0,1627234867
cape town,ZA,-33.9258,18.4232,62.28,49,0,2.3,1627234607
mataura,NZ,-46.1927,168.8643,47.48,88,100,4.59,1627234815
jamestown,US,42.097,-79.2353,83.3,63,75,4.0,1627234822
tessalit,ML,20.1986,1.0114,94.1,28,70,12.59,1627234729
upington,ZA,-28.4478,21.2561,55.78,28,0,4.61,1627234868
constitucion,CL,-35.3333,-72.4167,53.44,88,50,10.25,1627234869
vestmannaeyjar,IS,63.4427,-20.2734,54.59,82,75,27.63,1627234704
geraldton,AU,-28.7667,114.6,48.61,93,75,11.5,1627234802
faya,SA,18.3851,42.4509,66.31,71,93,4.16,1627234650
tuatapere,NZ,-46.1333,167.6833,47.82,90,100,4.7,1627234869
troitskiy,RU,57.0603,63.7481,52.9,63,4,6.64,1627234869
cherskiy,RU,68.75,161.3,41.97,72,27,7.54,1627234690
masuguru,TZ,-11.3667,38.4167,73.81,38,58,4.41,1627234870
sitka,US,57.0531,-135.33,55.29,82,90,4.61,1627234824
alofi,NU,-19.0595,-169.9187,66.09,100,17,1.14,1627234870
thompson,CA,55.7435,-97.8558,57.36,54,75,11.5,1627234742
ribeira grande,PT,38.5167,-28.7,73.8,78,40,6.91,1627234731
saldanha,ZA,-33.0117,17.9442,60.85,54,100,11.3,1627234813
rocha,UY,-34.4833,-54.3333,72.52,71,71,12.88,1627234871
careiro da varzea,BR,-3.2003,-59.8119,90.23,37,31,2.89,1627234871
praia da vitoria,PT,38.7333,-27.0667,71.85,88,75,11.97,1627234843
tuktoyaktuk,CA,69.4541,-133.0374,53.6,100,90,19.57,1627234872
castro,BR,-24.7911,-50.0119,70.07,41,2,7.7,1627234688
aban,RU,56.67,96.06,64.6,69,6,7.02,1627234872
tiksi,RU,71.6872,128.8694,48.0,81,83,7.23,1627234830
christchurch,NZ,-43.5333,172.6333,53.01,82,99,10.0,1627234805
qaanaaq,GL,77.484,-69.3632,40.23,70,88,5.48,1627234716
aguimes,ES,27.9054,-15.4461,74.66,65,20,31.07,1627234772
bonfim,BR,3.0833,-59.95,88.39,55,78,7.09,1627234873
te anau,NZ,-45.4167,167.7167,45.55,95,100,4.0,1627234873
sangmelima,CM,2.9333,11.9833,67.71,99,94,3.02,1627234873
kodiak,US,57.79,-152.4072,50.36,91,70,1.28,1627234874
verkhoyansk,RU,67.5447,133.385,55.29,70,41,2.98,1627234874
ostrovnoy,RU,68.0531,39.5131,46.45,85,95,17.69,1627234759
tonantins,BR,-2.8731,-67.8022,92.39,45,23,3.91,1627234875
humberto de campos,BR,-2.5983,-43.4611,90.25,43,56,2.01,1627234875
san juan,AR,-31.5375,-68.5364,58.51,31,0,3.91,1627234840
cidreira,BR,-30.1811,-50.2056,74.28,53,6,6.53,1627234875
san quintin,MX,30.4833,-115.95,68.58,82,100,6.4,1627234707
paamiut,GL,61.994,-49.6678,44.69,70,79,4.72,1627234876
takoradi,GH,4.8845,-1.7554,77.0,75,53,12.03,1627234876
amapa,BR,1.0,-52.0,78.67,91,49,3.15,1627234877
guanica,PR,17.9716,-66.908,91.62,72,56,5.01,1627234877
arlit,NE,18.7369,7.3853,105.82,11,2,8.21,1627234749
emerald,AU,-23.5333,148.1667,51.94,52,20,8.05,1627234877
oktyabrskiy,RU,54.4815,53.471,54.88,53,26,4.18,1627234878
port hardy,CA,50.6996,-127.4199,59.18,88,75,2.3,1627234784
belmonte,BR,-15.8631,-38.8828,75.7,66,33,11.43,1627234878
statesville,US,35.7826,-80.8873,90.39,70,75,6.91,1627234878
leh,IN,34.1667,77.5833,74.25,38,90,8.66,1627234848
upernavik,GL,72.7868,-56.1549,41.0,82,47,11.56,1627234729
gamba,GA,-2.65,10.0,72.1,85,87,6.78,1627234879
aklavik,CA,68.2191,-135.0107,55.4,76,75,17.27,1627234879
vestmanna,FO,62.1564,-7.1664,50.92,100,75,4.61,1627234879
ketchikan,US,55.3422,-131.6461,57.67,88,90,0.0,1627234795
sarany,RU,58.5,58.8833,43.68,85,38,3.18,1627234880
matagami,CA,49.7502,-77.6328,75.31,50,40,13.8,1627234880
beringovskiy,RU,63.05,179.3167,51.33,91,98,1.83,1627234880
ponezhukay,RU,44.8876,39.3855,84.85,56,52,9.53,1627234881
pevek,RU,69.7008,170.3133,34.86,90,100,9.48,1627234881
bahia blanca,AR,-38.7196,-62.2724,56.97,34,73,7.78,1627234881
salem,IN,11.65,78.1667,76.39,87,80,4.09,1627234817
monsenhor gil,BR,-5.5642,-42.6078,92.39,20,22,6.82,1627234882
vila franca do campo,PT,37.7167,-25.4333,73.81,73,46,8.32,1627234760
portland,US,45.5234,-122.6762,80.4,60,1,1.01,1627234311
sakata,JP,38.9167,139.855,73.67,85,4,9.4,1627234882
sambava,MG,-14.2667,50.1667,68.13,81,94,12.19,1627234883
kultuk,RU,51.7208,103.6956,55.94,85,3,2.24,1627234883
verkhozim,RU,52.7122,45.418,60.3,61,91,4.27,1627234883
hithadhoo,MV,-0.6,73.0833,80.87,74,85,3.24,1627234745
gizo,SB,-8.103,156.8419,79.86,80,70,5.68,1627234884
chenove,FR,47.2932,5.0046,77.02,53,0,10.36,1627234884
samarai,PG,-10.6167,150.6667,78.87,78,100,17.58,1627234884
andros town,BS,24.7,-77.7667,87.76,66,77,14.32,1627234885
pereira,CO,4.8133,-75.6961,68.76,83,75,8.05,1627234885
chuy,UY,-33.6971,-53.4616,68.05,79,61,10.36,1627234701
kapuskasing,CA,49.4169,-82.4331,77.09,57,40,8.05,1627234886
pringsewu,ID,-5.3582,104.9744,68.92,91,0,1.12,1627234886
marystown,CA,47.1666,-55.1483,61.7,73,68,3.71,1627234886
guarapari,BR,-20.6667,-40.4975,76.91,57,15,14.45,1627234887
saint-georges,GD,12.0564,-61.7485,85.68,74,20,11.5,1627234887
sorland,NO,67.667,12.6934,53.67,87,40,10.36,1627234795
lingao,CN,19.9103,109.6859,81.55,83,76,6.15,1627234887
margate,GB,51.3813,1.3862,69.91,79,85,4.0,1627234789
taywarah,AF,33.35,64.4167,66.02,22,71,5.97,1627234888
santa maria,BR,-29.6842,-53.8069,83.5,34,40,20.71,1627234888
kavieng,PG,-2.5744,150.7967,81.05,76,53,1.05,1627234596
grand-santi,GF,4.25,-54.3833,85.87,61,56,4.5,1627234888
dauphin,CA,51.1494,-100.0502,77.14,44,1,12.66,1627234750
kloulklubed,PW,7.0419,134.2556,83.37,74,100,14.18,1627234889
macae,BR,-22.3708,-41.7869,83.95,39,0,11.5,1627234889
thinadhoo,MV,0.5333,72.9333,82.45,68,56,2.08,1627234890
campina verde,BR,-19.5356,-49.4864,85.71,17,0,9.46,1627234890
pinos,MX,22.3,-101.5667,61.79,31,1,7.63,1627234890
lae,PG,-6.7221,146.9847,74.43,89,66,5.86,1627234891
lorengau,PG,-2.0226,147.2712,78.53,84,20,9.28,1627234756
caiaponia,BR,-16.9567,-51.8103,86.5,19,0,7.63,1627234891
bartica,GY,6.4,-58.6167,79.12,97,94,6.4,1627234891
naze,JP,28.3667,129.4833,77.97,88,100,18.72,1627234639
talnakh,RU,69.4865,88.3972,56.3,94,100,6.33,1627234656
merauke,ID,-8.4667,140.3333,76.44,82,99,10.47,1627234892
axim,GH,4.8699,-2.2405,77.34,74,40,10.85,1627234892
ahipara,NZ,-35.1667,173.1667,57.0,93,71,8.72,1627234779
norman wells,CA,65.282,-126.8329,62.64,48,20,8.05,1627234810
finspang,SE,58.7058,15.7674,77.65,51,66,7.38,1627234893
sabang,ID,5.8933,95.3214,83.01,78,98,10.36,1627234893
mendi,PG,-6.1761,143.6513,54.7,98,75,1.95,1627234893
beloha,MG,-25.1667,45.05,61.16,61,12,9.6,1627234894
saiki,JP,32.95,131.9,75.51,92,100,6.02,1627234894
teguldet,RU,57.3064,88.1667,65.01,76,99,1.07,1627234794
bandarbeyla,SO,9.4942,50.8122,79.86,63,71,26.44,1627234894
reoti,IN,25.85,84.3833,90.09,65,100,3.83,1627234895
wattegama,LK,6.7989,81.4808,77.54,79,87,9.93,1627234895
hirtshals,DK,57.5881,9.9592,73.22,62,100,10.6,1627234895
gunjur,GM,13.2019,-16.7339,87.87,66,40,12.66,1627234896
mittagong,AU,-34.45,150.45,48.99,78,77,17.83,1627234896
aykhal,RU,66.0,111.5,68.79,59,72,9.75,1627234896
biak,ID,-0.9131,122.8766,74.82,81,73,7.02,1627234897
college,US,64.8569,-147.8028,62.2,76,75,4.61,1627234897
balagansk,RU,54.0103,103.0544,64.74,59,99,3.29,1627234897
kalabo,ZM,-14.97,22.6814,62.01,34,0,7.09,1627234898
arraial do cabo,BR,-22.9661,-42.0278,78.76,69,0,19.57,1627234898
acapulco,MX,16.8634,-99.8901,87.62,70,40,4.61,1627234777
riberalta,BO,-10.9833,-66.1,89.8,51,20,6.91,1627234898
szob,HU,47.8192,18.8702,87.71,77,62,7.83,1627234899
hasaki,JP,35.7333,140.8333,75.6,79,0,14.23,1627234690
san cristobal,VE,7.7669,-72.225,75.38,49,100,5.28,1627234767
banska bystrica,SK,48.5,19.5,65.08,90,47,9.22,1627234899
tomigusuku,JP,26.185,127.675,80.73,94,75,11.5,1627234899
lahaina,US,20.8783,-156.6825,79.81,93,24,8.28,1627234627
ambon,ID,-3.6954,128.1814,77.14,94,40,6.91,1627234900
nador,MA,35.174,-2.9287,93.27,34,20,20.71,1627234756
poum,NC,-20.2333,164.0167,72.1,79,5,14.52,1627234900
den helder,NL,52.9599,4.7593,72.97,86,90,4.61,1627234680
vilyuysk,RU,63.7553,121.6247,62.83,58,12,5.64,1627234901
manohar thana,IN,24.24,76.8018,78.62,93,69,13.2,1627234901
riohacha,CO,11.5444,-72.9072,84.0,71,100,10.74,1627234901
korla,CN,41.7597,86.1469,88.99,17,0,12.37,1627234838
ancud,CL,-41.8697,-73.8203,44.13,61,17,10.31,1627234902
tocopilla,CL,-22.092,-70.1979,64.45,70,98,7.58,1627234902
mount gambier,AU,-37.8333,140.7667,51.71,93,90,16.11,1627234903
bam,IR,29.106,58.357,94.01,6,0,10.78,1627234903
tabora,TZ,-5.0167,32.8,71.38,40,20,5.75,1627234903
ostersund,SE,63.1792,14.6357,73.85,43,75,9.22,1627234837
palmer,US,42.1584,-72.3287,72.99,82,90,5.01,1627234904
fort myers beach,US,26.452,-81.9481,94.01,62,75,3.0,1627234904
glenluce,GB,54.8798,-4.8084,70.29,74,17,5.1,1627234904
lysva,RU,58.1086,57.8053,53.2,68,96,3.2,1627234904
chepareria,KE,1.3077,35.2039,61.2,86,96,2.66,1627234905
vincennes,FR,48.85,2.4333,72.93,81,75,2.3,1627234905
mount isa,AU,-20.7333,139.5,46.17,46,4,0.0,1627234714
guozhen,CN,34.3659,107.359,76.62,83,70,4.92,1627234905
launceston,AU,-41.45,147.1667,44.8,88,75,3.0,1627234906
chingirlau,KZ,51.095,54.0814,71.71,36,59,12.64,1627234906
nikolskoye,RU,59.7035,30.7861,71.49,64,51,2.42,1627234906
valparaiso,CL,-33.0393,-71.6273,60.44,69,75,11.5,1627234691
kahului,US,20.8947,-156.47,79.84,88,40,18.41,1627234747
starovelichkovskaya,RU,45.4288,38.7326,85.15,43,40,11.59,1627234907
puerto ayora,EC,-0.7393,-90.3518,78.76,86,38,5.99,1627234737
luanda,AO,-8.8368,13.2343,71.19,83,3,10.4,1627234816
taraz,KZ,42.9,71.3667,81.01,28,0,6.71,1627234907
general roca,AR,-39.0333,-67.5833,52.2,43,100,11.23,1627234894
kachiry,KZ,53.0675,76.1036,69.15,80,76,8.41,1627234908
namibe,AO,-15.1961,12.1522,68.05,67,0,3.8,1627234908
gelemso,ET,8.8167,40.5167,59.9,83,99,1.97,1627234909
nouadhibou,MR,20.931,-17.0347,76.98,73,0,17.27,1627234909
caconda,AO,-13.7333,15.0667,63.32,25,0,3.06,1627234909
hille,DE,52.3333,8.75,79.65,72,72,4.16,1627234909
turiacu,BR,-1.6633,-45.3717,82.18,66,77,5.55,1627234910
mulege,MX,26.8833,-111.9833,91.72,41,18,8.39,1627234910
griffith,US,41.5284,-87.4237,91.04,50,40,3.0,1627234910
eggenfelden,DE,48.4054,12.7626,76.69,79,91,6.67,1627234911
lompoc,US,34.6391,-120.4579,75.69,82,90,0.0,1627234741
buy,RU,58.4786,41.53,61.03,55,99,5.08,1627234911
avera,US,33.194,-82.5271,90.72,50,93,3.49,1627234911
faanui,PF,-16.4833,-151.75,77.77,66,2,13.11,1627234912
ialibu,PG,-6.2821,143.9935,55.06,98,76,2.59,1627234912
kalmunai,LK,7.4167,81.8167,81.82,74,100,8.25,1627234912
tautira,PF,-17.7333,-149.15,75.22,67,2,10.07,1627234913
rio gallegos,AR,-51.6226,-69.2181,39.25,70,40,19.57,1627234913
saint-philippe,RE,-21.3585,55.7679,69.39,77,37,11.39,1627234844
sawakin,SD,19.1059,37.3321,90.75,51,19,9.1,1627234911
bossangoa,CF,6.4926,17.4552,78.01,68,98,1.59,1627234913
wasilla,US,61.5814,-149.4394,59.85,77,90,0.0,1627234756
tsuruoka,JP,38.7217,139.8217,72.07,88,4,7.58,1627234914
waingapu,ID,-9.6567,120.2641,71.62,74,70,5.03,1627234765
rodez,FR,44.5,2.5833,71.28,64,75,9.22,1627234914
ranong,TH,9.9658,98.6348,78.53,88,100,9.48,1627234915
swift current,CA,50.2834,-107.8014,79.61,27,1,12.66,1627234915
lata,PT,40.1629,-8.3327,76.05,76,83,8.99,1627234661
sola,VU,-13.8833,167.55,79.54,82,44,10.96,1627234741
camopi,GF,3.1655,-52.3158,83.59,75,52,3.96,1627234915
sibu,MY,2.3,111.8167,79.11,94,40,0.0,1627234916
prince rupert,CA,54.3161,-130.3201,57.29,91,90,2.3,1627234882
oranjemund,NA,-28.55,16.4333,64.9,30,100,3.22,1627234783
miraflores,MX,19.2167,-98.8083,71.02,48,6,4.72,1627234916
kruisfontein,ZA,-34.0033,24.7314,53.71,45,59,3.13,1627234733
acari,PE,-15.4311,-74.6158,71.69,56,62,10.09,1627234917
khasan,RU,42.4308,130.6434,73.78,96,77,4.27,1627234917
esperance,AU,-33.8667,121.9,53.44,83,4,17.49,1627234917
preobrazheniye,RU,42.9019,133.9064,71.29,90,36,4.23,1627234742
henties bay,NA,-22.116,14.2845,70.36,34,1,9.31,1627234644
vilhena,BR,-12.7406,-60.1458,86.22,39,0,12.66,1627234789
plettenberg bay,ZA,-34.0527,23.3716,59.14,50,77,3.65,1627234764
masindi,UG,1.6744,31.715,70.02,53,98,5.23,1627234918
orangeburg,US,33.4918,-80.8557,89.46,62,1,3.44,1627234918
egvekinot,RU,66.3167,-179.1667,44.28,91,100,1.66,1627234726
port blair,IN,11.6667,92.75,82.22,86,100,17.25,1627234919
provideniya,RU,64.3833,-173.3,46.71,99,100,6.67,1627234682
lakatoro,VU,-16.0999,167.4164,77.67,86,58,3.91,1627234919
reconquista,AR,-29.15,-59.65,80.37,44,3,7.16,1627234812
palimbang,PH,6.2106,124.1894,79.09,82,51,3.31,1627234920
adre,TD,13.4667,22.2,72.34,93,82,12.71,1627234848
panaba,MX,21.2833,-88.2667,95.77,38,77,13.85,1627234920
broken hill,AU,-31.95,141.4333,49.71,66,45,12.66,1627234920
east london,ZA,-33.0153,27.9116,59.94,72,0,6.91,1627234921
broome,US,42.2506,-75.833,85.46,73,40,1.99,1627234921
katsuura,JP,35.1333,140.3,81.1,86,8,11.43,1627234699
pitimbu,BR,-7.4706,-34.8086,77.59,69,8,13.87,1627234921
longhua,CN,23.6137,114.1919,82.35,82,93,1.21,1627234922
shizunai,JP,42.3339,142.3669,67.57,93,36,5.82,1627234922
fairbanks,US,64.8378,-147.7164,62.22,76,90,0.0,1627234777
terrace,CA,54.5163,-128.6035,58.91,94,90,6.91,1627234922
camacha,PT,33.0833,-16.3333,74.16,83,40,12.66,1627234923
kajaani,FI,64.2273,27.7285,69.85,56,0,10.36,1627234923
pafos,CY,34.7667,32.4167,83.23,78,0,11.5,1627234923
malakal,SS,9.5334,31.6605,69.96,98,100,7.14,1627234924
asau,RO,46.4333,26.4,74.32,62,69,1.45,1627234924
shenjiamen,CN,29.9576,122.298,78.12,89,100,34.78,1627234924
barauli,IN,26.4,84.5833,87.46,71,100,7.76,1627234925
bonavista,CA,48.6499,-53.1147,62.6,82,45,7.54,1627234628
sazonovo,RU,59.0919,35.2268,60.01,64,88,3.44,1627234925
sao filipe,CV,14.8961,-24.4956,74.25,73,56,7.7,1627234925
dublin,US,37.7021,-121.9358,82.24,53,1,4.61,1627234830
spas-klepiki,RU,55.1347,40.1767,60.84,57,77,1.03,1627234926
la ronge,CA,55.1001,-105.2842,64.65,59,75,8.05,1627234794
soe,ID,-9.8607,124.284,59.72,69,44,4.54,1627234926
bonthe,SL,7.5264,-12.505,78.6,77,90,8.79,1627234927
dembi dolo,ET,8.5333,34.8,55.53,99,100,3.58,1627234927
senanga,ZM,-16.1167,23.2667,62.15,38,0,7.96,1627234927
mount darwin,ZW,-16.7725,31.5838,52.11,74,11,7.81,1627234928
jalu,LY,29.0331,21.5482,89.51,22,0,7.74,1627234702
fortuna,US,40.5982,-124.1573,57.97,96,90,0.0,1627234715
udachnyy,RU,66.4167,112.4,71.83,55,42,8.99,1627234672
sobolevo,RU,54.4299,31.8996,67.6,61,40,4.23,1627234653
coari,BR,-4.085,-63.1414,94.96,32,73,4.0,1627234928
sindgi,IN,16.9167,76.2333,75.15,84,77,17.29,1627234929
monkey bay,MW,-14.0728,34.9201,66.42,63,74,18.95,1627234929
pangnirtung,CA,66.1451,-65.7125,55.4,82,90,4.61,1627234929
iqaluit,CA,63.7506,-68.5145,46.13,93,90,4.0,1627234930
great falls,US,47.5002,-111.3008,89.92,17,1,1.99,1627234700
alice town,BS,25.7167,-79.3,83.68,69,61,8.61,1627234930
ternate,ID,0.8,127.4,80.73,80,100,7.29,1627234930
flinders,AU,-34.5833,150.8552,56.17,62,53,20.0,1627234931
soyo,AO,-6.1349,12.3689,72.72,86,57,7.27,1627234931
pisco,PE,-13.7,-76.2167,66.02,72,75,6.91,1627234757
madimba,TZ,-10.4,40.3333,72.72,73,20,11.5,1627234931
san policarpo,PH,12.1791,125.5072,81.57,77,60,10.27,1627234659
alyangula,AU,-13.8483,136.4192,58.87,94,85,2.3,1627234932
bad ems,DE,50.3333,7.7167,76.23,80,57,3.83,1627234932
sokoni,TZ,-6.4333,39.55,78.66,71,2,20.4,1627234932
clyde river,CA,70.4692,-68.5914,35.83,100,90,12.66,1627234712
the valley,AI,18.217,-63.0578,87.66,74,20,17.27,1627234933
felanitx,ES,39.4696,3.1483,83.95,63,52,8.9,1627234933
de aar,ZA,-30.6497,24.0123,44.67,27,15,5.53,1627234933
meyzieu,FR,45.7667,5.0,80.55,44,0,5.75,1627234934
kunming,CN,25.0389,102.7183,58.93,94,0,2.24,1627234934
champua,IN,22.0833,85.6667,79.41,85,100,5.93,1627234934
bac lieu,VN,9.285,105.7244,78.69,85,77,7.67,1627234934
smidovich,RU,48.6,133.8167,70.07,87,100,4.79,1627234935
bathsheba,BB,13.2167,-59.5167,88.41,74,75,18.41,1627234831
genhe,CN,50.7833,121.5167,52.41,97,10,1.79,1627234935
hamilton,US,39.1834,-84.5333,91.0,69,40,1.01,1627234698
suoyarvi,RU,62.0833,32.35,64.15,63,94,3.94,1627234935
airai,TL,-8.9266,125.4092,55.54,51,40,3.06,1627234936
galle,LK,6.0367,80.217,78.35,86,73,12.62,1627234936
chipinge,ZW,-20.1883,32.6236,51.57,54,65,2.06,1627234936
itoman,JP,26.1247,127.6694,80.98,94,75,11.5,1627234937
acajutla,SV,13.5928,-89.8275,91.74,58,93,9.1,1627234937
benjamin aceval,PY,-24.9667,-57.5667,89.74,23,10,12.75,1627234937
berlevag,NO,70.8578,29.0864,46.4,83,100,18.75,1627234811
bairiki,KI,1.3292,172.9752,80.6,83,75,8.05,1627234938
lagoa,PT,39.05,-27.9833,69.49,82,100,12.8,1627234938
luwuk,ID,-0.9516,122.7875,75.56,82,76,5.35,1627234938
port lincoln,AU,-34.7333,135.8667,55.24,86,41,17.36,1627234939
mayo,US,38.8876,-76.5119,92.21,70,1,4.0,1627234939
kundiawa,PG,-6.0167,144.9667,62.01,98,100,1.86,1627234939
la pila,MX,22.05,-100.8667,69.48,39,0,5.44,1627234940
weslaco,US,26.1595,-97.9908,93.2,49,1,8.05,1627234940
varkkallai,IN,8.7341,76.7067,80.38,91,93,17.02,1627234940
latur,IN,18.4,76.5833,74.26,82,39,15.12,1627234940
ciudad bolivar,VE,8.1222,-63.5497,84.51,67,91,7.02,1627234941
roald,NO,62.5833,6.1333,79.16,82,24,11.5,1627234941
sorochinsk,RU,52.4338,53.1583,62.19,40,5,9.55,1627234941
hami,CN,42.8,93.45,88.23,19,0,11.65,1627234666
panguna,PG,-6.3164,155.4848,67.42,93,82,1.39,1627234942
